lot_id,supplier,source,moisture_pct,fine_extract_db_pct,wort_pH,diastatic_power_WK,total_protein_pct,wort_colour_EBC
LOT013,SPEC_LOT013,lot,4.629,81.517,5.828,249.454,11.329,3.526
LOT014,SPEC_LOT014,lot,2.795,80.973,5.781,232.843,10.669,4.316
LOT015,SPEC_LOT015,lot,3.198,80.755,5.999,263.691,9.682,2.785
LOT016,SPEC_LOT016,lot,2.329,84.02,5.896,252.77,9.627,3.387
LOT017,SPEC_LOT017,lot,4.988,83.233,5.986,307.597,9.523,3.997
LOT018,SPEC_LOT018,lot,4.045,83.296,5.633,280.12,9.723,3.483
LOT019,SPEC_LOT019,lot,3.361,86.631,5.938,232.924,10.501,3.022
LOT020,SPEC_LOT020,lot,4.738,85.964,5.649,279.869,10.718,2.975
LOT021,SPEC_LOT021,lot,4.288,83.315,5.889,266.294,9.501,3.283
LOT022,SPEC_LOT022,lot,2.058,86.433,5.939,303.958,10.115,2.804
LOT023,SPEC_LOT023,lot,4.634,86.576,5.543,260.749,9.638,4.069
LOT024,SPEC_LOT024,lot,4.298,80.027,5.738,268.725,10.03,4.27
LOT025,SPEC_LOT025,lot,3.269,80.694,5.77,291.241,9.902,3.261
LOT026,SPEC_LOT026,lot,4.985,84.199,5.719,264.697,9.742,3.104
LOT027,SPEC_LOT027,lot,3.014,83.706,5.615,227.527,9.642,3.836
LOT028,SPEC_LOT028,lot,2.687,86.243,5.93,208.857,9.976,3.904
LOT029,SPEC_LOT029,lot,2.643,80.058,5.968,271.38,10.445,4.112
LOT030,SPEC_LOT030,lot,4.422,80.523,5.548,253.881,10.347,3.541
LOT031,SPEC_LOT031,lot,4.187,84.387,5.992,212.302,10.305,3.311
LOT032,SPEC_LOT032,lot,4.585,80.989,5.595,256.077,10.344,3.201
LOT033,SPEC_LOT033,lot,2.749,86.386,5.722,307.669,10.601,2.791
LOT034,SPEC_LOT034,lot,4.998,85.688,5.984,315.796,11.197,2.999
LOT035,SPEC_LOT035,lot,3.457,80.71,5.701,207.329,10.258,4.474
LOT036,SPEC_LOT036,lot,2.796,85.273,5.728,252.876,11.415,4.492
LOT037,SPEC_LOT037,lot,3.667,84.747,5.577,237.088,11.437,3.743
LOT038,SPEC_LOT038,lot,3.627,84.984,5.529,273.022,10.506,4.235
LOT039,SPEC_LOT039,lot,2.472,86.686,5.54,223.228,10.69,3.915
LOT040,SPEC_LOT040,lot,2.706,79.959,5.945,230.777,10.689,3.815
LOT041,SPEC_LOT041,lot,3.258,83.669,5.761,316.838,9.909,3.989
LOT042,SPEC_LOT042,lot,2.716,82.166,5.836,237.5,10.132,4.053
LOT043,SPEC_LOT043,lot,2.218,82.666,5.999,324.512,9.647,3.084
LOT044,SPEC_LOT044,lot,2.796,86.466,5.94,309.909,10.239,2.984
LOT045,SPEC_LOT045,lot,4.501,84.628,5.806,323.404,10.808,2.714
LOT046,SPEC_LOT046,lot,4.451,81.395,5.832,317.366,9.769,2.908
LOT047,SPEC_LOT047,lot,2.321,83.426,5.636,275.604,10.935,3.066
LOT048,SPEC_LOT048,lot,3.903,81.112,5.744,313.167,11.192,2.866
LOT049,SPEC_LOT049,lot,3.271,81.213,5.502,296.39,10.774,3.172
LOT050,SPEC_LOT050,lot,4.224,83.413,5.714,201.209,9.65,4.29
LOT051,SPEC_LOT051,lot,4.712,83.365,5.917,272.814,9.796,2.929
LOT052,SPEC_LOT052,lot,2.925,86.192,5.898,307.588,11.298,3.078
LOT053,SPEC_LOT053,lot,2.749,79.822,5.89,310.517,10.313,3.817
LOT054,SPEC_LOT054,lot,2.464,86.439,5.932,322.026,11.122,4.287
LOT055,SPEC_LOT055,lot,2.074,84.893,5.666,316.352,11.104,4.255
LOT056,SPEC_LOT056,lot,4.432,81.134,5.894,213.512,11.244,4.245
LOT057,SPEC_LOT057,lot,2.667,85.533,5.73,238.149,11.091,3.11
LOT058,SPEC_LOT058,lot,2.071,80.545,5.664,308.044,11.434,3.202
LOT059,SPEC_LOT059,lot,3.924,82.197,5.991,267.027,11.378,2.908
LOT060,SPEC_LOT060,lot,4.911,80.429,5.981,233.183,9.717,3.482
LOT061,SPEC_LOT061,lot,4.186,81.509,5.803,263.928,10.27,3.738
LOT062,SPEC_LOT062,lot,2.764,84.67,5.501,315.697,10.577,3.995
LOT063,SPEC_LOT063,lot,4.226,84.365,5.682,208.747,10.828,3.294
LOT064,SPEC_LOT064,lot,2.942,85.784,5.86,237.54,10.119,3.435
LOT065,SPEC_LOT065,lot,3.207,81.365,5.564,252.556,11.381,3.919
LOT066,SPEC_LOT066,lot,4.708,83.924,5.65,268.492,9.501,3.216
LOT067,SPEC_LOT067,lot,3.29,83.64,5.827,258.124,10.384,3.085
LOT068,SPEC_LOT068,lot,3.42,86.209,5.898,221.211,9.67,3.628
LOT069,SPEC_LOT069,lot,3.899,81.682,5.909,293.892,10.846,3.104
LOT070,SPEC_LOT070,lot,2.597,79.195,5.622,259.392,11.199,2.831
LOT071,SPEC_LOT071,lot,3.243,84.038,5.597,287.044,10.489,3.139
LOT072,SPEC_LOT072,lot,3.968,79.044,5.875,296.256,9.713,3.465
LOT073,SPEC_LOT073,lot,2.528,86.664,5.759,206.277,9.998,4.227
LOT074,SPEC_LOT074,lot,3.369,85.411,5.834,323.487,10.691,4.41
LOT075,SPEC_LOT075,lot,4.674,83.901,5.86,263.097,11.161,3.686
LOT076,SPEC_LOT076,lot,4.692,84.949,5.737,232.399,9.994,3.848
LOT077,SPEC_LOT077,lot,4.297,83.17,5.813,234.325,9.655,3.214
LOT078,SPEC_LOT078,lot,2.815,81.558,5.77,217.297,9.963,3.949
LOT079,SPEC_LOT079,lot,4.119,79.514,5.704,267.826,10.332,3.072
LOT080,SPEC_LOT080,lot,3.26,86.239,5.792,286.94,11.213,4.078
LOT081,SPEC_LOT081,lot,3.141,79.047,5.676,294.184,11.207,4.416
LOT082,SPEC_LOT082,lot,3.257,84.98,5.773,275.407,9.941,3.095
LOT083,SPEC_LOT083,lot,3.308,79.232,5.668,284.893,10.309,2.997
LOT084,SPEC_LOT084,lot,3.402,80.021,5.811,203.371,10.288,3.716
LOT085,SPEC_LOT085,lot,2.081,84.142,5.568,257.712,9.601,3.382
LOT086,SPEC_LOT086,lot,2.635,81.615,5.881,247.391,11.004,4.197
LOT087,SPEC_LOT087,lot,2.757,79.655,5.51,267.427,11.5,3.33
LOT088,SPEC_LOT088,lot,3.95,85.25,5.826,294.279,11.399,3.059
LOT089,SPEC_LOT089,lot,2.061,80.219,5.563,283.682,10.628,3.092
LOT090,SPEC_LOT090,lot,4.098,85.135,5.584,275.906,10.996,2.906
LOT091,SPEC_LOT091,lot,4.458,86.718,5.554,203.21,10.124,3.919
LOT092,SPEC_LOT092,lot,4.875,82.173,5.858,209.5,10.881,3.829
LOT093,SPEC_LOT093,lot,2.306,85.18,5.925,275.051,9.742,4.471
LOT094,SPEC_LOT094,lot,4.348,81.778,5.714,246.321,10.512,3.314
LOT095,SPEC_LOT095,lot,4.549,85.579,5.553,320.098,10.771,4.192
LOT096,SPEC_LOT096,lot,4.122,82.484,5.867,320.684,10.04,4.155
LOT097,SPEC_LOT097,lot,3.615,82.868,5.718,291.378,10.037,4.233
LOT098,SPEC_LOT098,lot,4.492,79.693,5.941,230.483,10.429,3.799
LOT099,SPEC_LOT099,lot,3.137,79.23,5.925,222.73,9.924,4.136
LOT100,SPEC_LOT100,lot,3.021,86.043,5.851,234.534,9.52,4.407
LOT001,SPEC_LOT001,supplier_fallback,3.918,79.2,5.638,227.901,10.973,3.918
LOT002,SPEC_LOT002,supplier_fallback,4.677,79.696,5.711,203.725,9.937,3.61
LOT003,SPEC_LOT003,supplier_fallback,2.08,80.591,5.825,268.118,9.941,3.761
LOT004,SPEC_LOT004,supplier_fallback,4.428,79.052,5.903,287.267,10.181,2.98
LOT005,SPEC_LOT005,supplier_fallback,4.872,81.693,5.546,212.09,11.195,3.787
LOT006,SPEC_LOT006,supplier_fallback,4.421,84.838,5.768,321.639,10.257,3.694
LOT007,SPEC_LOT007,supplier_fallback,4.488,83.948,5.931,272.169,10.909,2.782
LOT008,SPEC_LOT008,supplier_fallback,2.684,81.315,5.54,229.099,9.702,3.2
LOT009,SPEC_LOT009,supplier_fallback,3.907,81.919,5.685,226.188,10.034,4.386
LOT010,SPEC_LOT010,supplier_fallback,3.944,83.873,5.586,291.141,9.827,3.383
LOT011,SPEC_LOT011,supplier_fallback,4.969,84.12,5.778,285.577,11.186,4.097
LOT012,SPEC_LOT012,supplier_fallback,2.687,79.257,5.658,233.468,9.922,4.397
