lot_id,supplier,source,moisture_pct,fine_extract_db_pct,wort_pH,diastatic_power_WK,total_protein_pct,wort_colour_EBC
LOT013,SPEC_LOT013,lot,4.629,81.517,0.0,0.0,11.329,0.0
LOT014,SPEC_LOT014,lot,2.795,80.973,0.0,0.0,10.669,0.0
LOT015,SPEC_LOT015,lot,3.198,80.755,0.0,0.0,9.682,0.0
LOT016,SPEC_LOT016,lot,2.329,84.02,0.0,0.0,9.627,0.0
LOT017,SPEC_LOT017,lot,4.988,83.233,0.0,0.0,9.523,0.0
LOT018,SPEC_LOT018,lot,4.045,83.296,0.0,0.0,9.723,0.0
LOT019,SPEC_LOT019,lot,3.361,86.631,0.0,0.0,10.501,0.0
LOT020,SPEC_LOT020,lot,4.738,85.964,0.0,0.0,10.718,0.0
LOT021,SPEC_LOT021,lot,4.288,83.315,0.0,0.0,9.501,0.0
LOT022,SPEC_LOT022,lot,2.058,86.433,0.0,0.0,10.115,0.0
LOT023,SPEC_LOT023,lot,4.634,86.576,0.0,0.0,9.638,0.0
LOT024,SPEC_LOT024,lot,4.298,80.027,0.0,0.0,10.03,0.0
LOT025,SPEC_LOT025,lot,3.269,80.694,0.0,0.0,9.902,0.0
LOT026,SPEC_LOT026,lot,4.985,84.199,0.0,0.0,9.742,0.0
LOT027,SPEC_LOT027,lot,3.014,83.706,0.0,0.0,9.642,0.0
LOT028,SPEC_LOT028,lot,2.687,86.243,0.0,0.0,9.976,0.0
LOT029,SPEC_LOT029,lot,2.643,80.058,0.0,0.0,10.445,0.0
LOT030,SPEC_LOT030,lot,4.422,80.523,0.0,0.0,10.347,0.0
LOT031,SPEC_LOT031,lot,4.187,84.387,0.0,0.0,10.305,0.0
LOT032,SPEC_LOT032,lot,4.585,80.989,0.0,0.0,10.344,0.0
LOT033,SPEC_LOT033,lot,2.749,86.386,0.0,0.0,10.601,0.0
LOT034,SPEC_LOT034,lot,4.998,85.688,0.0,0.0,11.197,0.0
LOT035,SPEC_LOT035,lot,3.457,80.71,0.0,0.0,10.258,0.0
LOT036,SPEC_LOT036,lot,2.796,85.273,0.0,0.0,11.415,0.0
